"id","Day","Breakfast","Snack1","Lunch","Snack2","Dinner","Snack3"
"1","1","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Bowl of Oatmeal w/ One Scoop Protein Powder</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p2""><b>Glass of Skim Milk</b></p>
<p class=""p3""><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>Greek Yogurt (Chobani) with Honey and Almonds</b></b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p3""><br></b></b></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Mixed Green Salad with Grilled Chicken, Pineapple, and Orange Slices</b></p>
<p class=""p2""><b>Bag of Pretzels</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p3""><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>Protein Shake</b></p>
<p class=""p3""><br></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Grilled Halibut Steak w/ squeezed Lemon</b></p>
<p class=""p2""><b>Brown Rice</b></p>
<p class=""p2""><b>Sauteed Spinach</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p3""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>12 Ounce glass of Skim Milkor 1% Skim Milk</b></p>
<p class=""p2""><b>Small Banana / Berries</b></p>
<p class=""p3""><br></p>"
"2","2","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Breakfast Smoothie (2 Cups of Skim Milk, ½ Banana, Fresh Strawberries, and 1 Scoop Protein Powder)</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p3""><br></p>","<p class=""eatPeriod"">Snack #1</b></p>
<p class=""p2""><b>Protein Shake</b></p>","<p class=""eatPeriod"">Lunch</b></p>
<p class=""p2""><b>Turkey Breast on a Whole Wheat Wrap w/ Hot Mustard and Fat Free Swiss</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #2</b></p>
<p class=""p2""><b>Peanut Butter</b></p>
<p class=""p2""><b>Sliced Green Apple</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Dinner</b></p>
<p class=""p2""><b>Grilled Pork Chop</b></p>
<p class=""p2""><b>Applesauce</b></p>
<p class=""p2""><b>Grilled Portobello Mushrooms</b></p>
<p class=""p2""><b>Baked Sweet Potato</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #3</b></p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>No Fat Cottage Cheese / Ricotta Cheese with Cinnamon and a few Crushed Almonds</b></p>
<p class=""p3""><br></p>"
"3","3","<p class=""eatPeriod"">Snack #1</b></p>
<p class=""p2""><b>Protein Shake</b></p>
<p class=""p4""><br></p>
","<p class=""eatPeriod"">Lunch</b></p>
<p class=""p2""><b>Peanut Butter and Jelly Sandwich on Whole Wheat Bread</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Lunch</b></p>
<p class=""p2""><b>Peanut Butter and Jelly Sandwich on Whole Wheat Bread</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>Turkey OR Beef Jerky</b></p>
<p class=""p2""><b>Saltine Crackers</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Fresh Pasta with Roasted Red Tomato Sauce and Grilled Oregano Chicken</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>1-2 pieces of Fat Free String Cheese</b></p>
<p class=""p2""><b>Grapes</b></p>
<p class=""p3""><br></p>"
"4","4","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Turkey Bacon</b></p>
<p class=""p2""><b>Whole Wheat Toast</b></p>
<p class=""p2""><b>Scrambled Egg Whites w/ Salsa</b></p>
<p class=""p2""><b>Glass of Skim Milk</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>1/2 Peanut Butter and Banana Sandwich on Whole Wheat Bread</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Grilled Chicken on a Whole Wheat Wrap with Grilled Veggies</b></p>
<p class=""p2""><b>Bag of Pretzels</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>1/2 Peanut Butter and Banana Sandwich on Whole Wheat Bread</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Grilled Sirloin Steak with Garlic and A-1</b></p>
<p class=""p2""><b>Baked Sweet Potato</b></p>
<p class=""p2""><b>Sauteed Broccoli</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>Thinly Sliced Roasted Turkey Wrapped Around a Pickle with Cayenne Pepper</b></p>
<p class=""p4""><span class=""s1""></span><br></p>"
"5","5","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Egg Whites Scrambled with Fat Free Mozzarella and Salsa</b></p>
<p class=""p2""><b>English Muffin</b></p>
<p class=""p2""><b>Glass of Skim Milk</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>Bag of Homemade Trail Mix (Coconut, Almonds, Kashi Go Lean cereal, Walnuts, a few Chocolate Chips)</b></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Mixed Green Salad with Grilled Chicken, Pineapple, and Orange Slices</b></p>
<p class=""p2""><b>Bag of Pretzels</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>Bag of Homemade Trail Mix (Coconut, Almonds, Kashi Go Lean cereal, Walnuts, a few Chocolate Chips)</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Grilled Chicken Breast with Roasted Apple /Onions</b></p>
<p class=""p2""><b>Cous Cous</b></p>
<p class=""p2""><b>Sweet Potato</b></p>
<p class=""p2""><b>Mixed Grilled Veggies</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>12 Ounce Glass of Skim or 1% Milk</b></p>
<p class=""p2""><b>Small Banana / Berries</b></p>
<p class=""p4""><span class=""s1""></span><br></p>"
"6","6","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Whole Wheat Waffles with Sugar Free Maple Syrup</b></p>
<p class=""p2""><b>Pumpkin Butter</b></p>
<p class=""p2""><b>Glass of Skim Milk</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>12 Ounce Glass of Skim or 1% Milk</b></p>
<p class=""p2""><b>Small Banana /Berries</b></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Tuna Fish Salad (use fat free mayo to prepare) on Whole Wheat pita w/ Craisins</b></p>
<p class=""p2""><b>1 Apple</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>Protein Shake</b></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Seared Ahi Tuna Steak with Black Peppercorns and Wasabi (no mayo)</b></p>
<p class=""p2""><b>Jasmine Rice</b></p>
<p class=""p2""><b>Wilted Spinach</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>Air Popped Popcorn with Drizzled Honey</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>"
"7","7","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Bowl of Oatmeal (add Cinnamon + Walnuts)</b></p>
<p class=""p2""><b>Glass of Skim Milk</b></p>
<p class=""p2""><b>Scrambled Egg Whites with Salsa</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>1% Cottage Cheese</b></p>
<p class=""p2""><b>Fresh Strawberries</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Grilled Chicken on a Whole Wheat Wrap with Mango Slices and Black Pepper</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #2</b></p>
<p class=""p2""><b>Peanut Butter</b></p>
<p class=""p2""><b>Sliced Green Apple</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Baked Chicken Breast</b></p>
<p class=""p2""><b>Sweet Potato Fries (baked in the oven with coating of PAM)</b></p>
<p class=""p2""><b>Mixed Grilled Veggies</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>
","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>Air Popped Popcorn with Garlic Powder and Hot Sauce</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>"
"8","8","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Bowl of Kashi Heart To Heart Cereal w/ Skim Milk</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>25-30 Grapes</b></p>
<p class=""p2""><b>Low Fat Mozzarella String Cheese</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Turkey Burger with Onions, Lettuce, Tomato, and Fat Free Swiss Cheese</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>Turkey OR Beef Jerky</b></p>
<p class=""p2""><b>Saltine Crackers</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Grilled Salmon Steak (w/ Teriyaki Drizzle)</b></p>
<p class=""p2""><b>Brown Rice</b></p>
<p class=""p2""><b>Sauteed Broccoli</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>1% Cottage Cheese</b></p>
<p class=""p2""><b>Fresh Strawberries</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>"
"9","9","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Bowl of Oatmeal (add Cinnamon + Walnuts)</b></p>
<p class=""p2""><b>Glass of Skim Milk</b></p>
<p class=""p2""><b>Scrambled Egg Whites with Salsa</b></p>
<p class=""p2""><b>High Grade Omega-3’s</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>A Bag of Pretzels with Spicy Mustard</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p6""><br></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Grilled Chicken on a Whole Wheat Wrap with Onions and BBQ Sauce</b></p>
<p class=""p2""><b>Fat Free Yogurt</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>1% Cottage Cheese</b></p>
<p class=""p2""><b>1 ripe banana</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>
","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Top Round or Grilled Sirloin Steak</b></p>
<p class=""p2""><b>Baked Sweet Potato</b></p>
<p class=""p2""><b>Grilled Asparagus</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>Greek Yogurt w/ Handful of Crushed Almonds</b></p>
<p class=""p4""><span class=""s1""></span><br></p>"
"10","10","<p class=""eatPeriod"">Breakfast</p>
<p class=""p2""><b>Breakfast Smoothie (2 Cups of Skim Milk, ½ Banana, Fresh Strawberries, and 1 Scoop Protein Powder) High Grade Omega-3’s</b></p>
<p class=""p4""><span class=""s1""></span><br></p>","<p class=""eatPeriod"">Snack #1</p>
<p class=""p2""><b>Almonds and Apricots (mix about 10 dried Apricots with 20-25 Almonds in a bag)</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Lunch</p>
<p class=""p2""><b>Mixed Green Salad with Grilled Salmon, Lemon, and Black Pepper</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #2</p>
<p class=""p2""><b>Turkey OR Beef Jerky</b></p>
<p class=""p2""><b>Saltine Crackers</b></p>
<p class=""p2""><b>Bottle of Water</b></p>","<p class=""eatPeriod"">Dinner</p>
<p class=""p2""><b>Grilled Salmon Steak (w/ Teriyaki Drizzle)</b></p>
<p class=""p2""><b>Brown Rice</b></p>
<p class=""p2""><b>Sauteed Broccoli</b></p>
<p class=""p2""><b>Bottle of Water</b></p>
<p class=""p4""><br></p>","<p class=""eatPeriod"">Snack #3</p>
<p class=""p2""><b>Protein Shake OR</b></p>
<p class=""p2""><b>Turkey / Beef Jerky</b></p>
<p class=""p2""><b>Bottled Water</b></p>
<p class=""p4""><span class=""s1""></span><br></p>"
